book_name,author_name,narrator_name
What's Our Problem?,Tim Urban,Tim Urban
Outlive,"Peter Attia,Bill Gifford",Peter Attia
Doglapan,Ashneer Grover,Adwait Karambelkar
Energize Your Mind,Gaur Gopal Das,Gaur Gopal Das
Change Your Brain Every Day,Daniel Amen,Jim Frangione
8 Rules of Love,Jay Shetty,Jay Shetty
The Fine Print,Lauren Asher,"Desiree Ketchum,Aiden Snow"
The Creative Act,Rick Rubin,Rick Rubin
The 16 Undeniable Laws of Communication,John Maxwell,John Maxwell
The Light We Carry,Michelle Obama,Michelle Obama
The Secret of the Nagas,Amish Tripathi,Manish Dongardive
War of Lanka,Amish Tripathi,Darrpan Mehta
Scion of Ikshvaku,Amish,Sagar Arya
Haunting Adeline,H. D. Carlton,"Teddy Hamilton,Michelle Sparks"
The Khalistan Conspiracy,G.B.S. Sidhu,Adwait Karambelkar
The Myth of Normal,"Gabor Maté,Daniel Maté",Daniel Maté
The Immortals of Meluha,Amish Tripathi,Manish Dongardive
Never Finished,David Goggins,"David Goggins,Adam Skolnick,Jacqueline Gardner"
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Jennifer Kim,Julian Cihi"
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,Stephen Fry
book_name,author_name,narrator_name
What's Our Problem?,Tim Urban,Tim Urban
Outlive,"Peter Attia,Bill Gifford",Peter Attia
Doglapan,Ashneer Grover,Adwait Karambelkar
Energize Your Mind,Gaur Gopal Das,Gaur Gopal Das
Change Your Brain Every Day,Daniel Amen,Jim Frangione
8 Rules of Love,Jay Shetty,Jay Shetty
The Fine Print,Lauren Asher,"Desiree Ketchum,Aiden Snow"
The Creative Act,Rick Rubin,Rick Rubin
The 16 Undeniable Laws of Communication,John Maxwell,John Maxwell
The Light We Carry,Michelle Obama,Michelle Obama
The Secret of the Nagas,Amish Tripathi,Manish Dongardive
War of Lanka,Amish Tripathi,Darrpan Mehta
Scion of Ikshvaku,Amish,Sagar Arya
Haunting Adeline,H. D. Carlton,"Teddy Hamilton,Michelle Sparks"
The Khalistan Conspiracy,G.B.S. Sidhu,Adwait Karambelkar
The Myth of Normal,"Gabor Maté,Daniel Maté",Daniel Maté
The Immortals of Meluha,Amish Tripathi,Manish Dongardive
Never Finished,David Goggins,"David Goggins,Adam Skolnick,Jacqueline Gardner"
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Jennifer Kim,Julian Cihi"
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,Stephen Fry
The Steal Like an Artist Audio Trilogy,Austin Kleon,Austin Kleon
The Last Hours,Cassandra Clare,Finty Williams
Spare,Prince Harry The Duke of Sussex,Prince Harry The Duke of Sussex
The Mountain Is You,Brianna Wiest,Stacey Glemboski
Meditations,"Marcus Aurelius,Diskin Clay,Martin Hammond",Richard Armitage
Don't Believe Everything You Think,Joseph Nguyen,Joseph Nguyen
India's Most Fearless 3,"Shiv Aroor,Rahul Singh",Shiv Aroor
The Lean Startup,Eric Ries,Eric Ries
Dopamine Detox,Thibaut Meurisse,Joshua Alexander
Lessons in Chemistry,Bonnie Garmus,Miranda Raison
Things We Hide from the Light,Lucy Score,"Lila Winters,Sebastian York"
Shakti,"DK,Nilima Chitgopekar,Shashi Tharoor - foreword,Phonic Books",Rita Sharma
The Oath of the Vayuputras (English),Amish Tripathi,Manish Dongardive
Mythos,Stephen Fry,Stephen Fry
Endure,Cameron Hanes,"Cameron Hanes,David Goggins,Joe Rogan"
Verity,Colleen Hoover,"Vanessa Johansson,Amy Landon"
Sherlock Holmes: The Definitive Collection,"Stephen Fry - introductions,Arthur Conan Doyle",Stephen Fry
Quiet,Susan Cain,Kathe Mazur
Sita: Warrior of Mithila,Amish,Sagar Arya
Trading in the Zone,Mark Douglas,Kaleo Griffith
The Staff Engineer's Path,Tanya Reilly,Wendy Tremont King
A Day of Fallen Night,Samantha Shannon,"Ellie Kendrick,Sheila Atim,Thoren Ferguson,Hanako Footman,Samantha Shannon,Saara El-Arifi"
The Power of Unwavering Focus,Dandapani,Dandapani
Meluha Ke Mritunjay [The Immortals of Meluha],Amish Tripathi,Swetanshu Bora
The Captain,Will Wight,Travis Baldree
Win Every Argument,Mehdi Hasan,Mehdi Hasan
I Will Find You,Harlan Coben,Steven Weber
